open_time,open,high,low,close,volume
2021-08-09,43794.36000000,48144.00000000,42779.00000000,46973.82000000,372867.97981100
2021-08-16,46973.82000000,49757.04000000,43927.70000000,49239.22000000,357634.46215500
2021-08-23,49239.22000000,50500.00000000,46250.00000000,48767.83000000,298905.69704200
2021-08-30,48767.84000000,51900.00000000,46512.00000000,51756.88000000,327484.44363800
2021-09-06,51756.88000000,52920.00000000,42843.05000000,46025.24000000,399602.39982000
2021-09-13,46025.23000000,48843.20000000,43370.00000000,47241.75000000,289430.44387000
2021-09-20,47241.75000000,47347.25000000,39600.00000000,43160.90000000,437174.23273000
2021-09-27,43160.90000000,49228.08000000,40753.88000000,48200.01000000,290620.78115000
2021-10-04,48200.01000000,56561.31000000,46891.00000000,54659.00000000,424292.25859900
2021-10-11,54659.01000000,62933.00000000,53879.00000000,61528.33000000,362346.26317400
2021-10-18,61528.32000000,67000.00000000,59510.63000000,60852.22000000,336367.00881000
2021-10-25,60852.22000000,63710.63000000,57820.00000000,61299.80000000,314971.84980000
2021-11-01,61299.81000000,64270.00000000,59405.00000000,63273.59000000,253033.72432000
2021-11-08,63273.58000000,69000.00000000,62278.00000000,65519.10000000,294213.11270800
2021-11-15,65519.11000000,66401.82000000,55600.00000000,58622.02000000,340150.61676000
2021-11-22,58617.70000000,59444.00000000,53256.64000000,57274.88000000,315216.31943000
2021-11-29,57274.89000000,59176.99000000,42000.30000000,49396.33000000,390528.91248800
2021-12-06,49396.32000000,51936.33000000,46751.00000000,50053.90000000,272083.99753000
2021-12-13,50053.90000000,50189.97000000,45456.00000000,46681.23000000,271834.80183000
2021-12-20,46681.24000000,51810.00000000,45558.85000000,50775.49000000,209149.42595000
2021-12-27,50775.48000000,52088.00000000,45678.00000000,47286.18000000,217379.64220000
